bank_name,category,question,answer
SBI,Accounts,How do I open a digital savings account with SBI?,"You can open a digital savings account using the YONO app. Download the app, select 'New to SBI', click 'Open Savings Account', choose 'Without Branch Visit', and complete the Video KYC process."
SBI,Accounts,What is the minimum balance required for a regular SBI savings account?,"SBI has waived the Average Monthly Balance (AMB) requirement for all regular savings accounts. Currently, they are zero-balance accounts."
SBI,Accounts,Can I open a joint account online via YONO?,"No, currently the digital account opening process via YONO (Insta Plus) allows only single ownership. For joint accounts, you must visit a branch."
SBI,Accounts,What is the SBI Insta Plus Savings Account?,It is a fully paperless digital savings account opened via Video KYC on the YONO app. It offers full banking services without requiring a branch visit.
SBI,Accounts,What documents are required to open a savings account at a branch?,"You need a filled Account Opening Form (AOF), two passport-size photos, and officially valid documents (OVD) for KYC, such as Aadhaar Card and PAN Card."
SBI,Accounts,Who is eligible to open a 'Pehla Kadam' minor account?,"'Pehla Kadam' is for minors of any age. It can be opened jointly with a parent/guardian, who operates the account."
SBI,Accounts,What is the 'Pehli Udaan' account for minors?,'Pehli Udaan' is for minors aged above 10 years who can sign uniformly. The minor can operate this account singly.
SBI,Accounts,How can I convert my minor account to a major account?,"Once the minor turns 18, they must visit the branch with fresh KYC documents (PAN, Aadhaar) and a photo to convert the account status to 'Major'."
SBI,Accounts,What is a Basic Savings Bank Deposit Account (BSBDA)?,"BSBDA is a zero-balance savings account available to all individuals. However, you cannot hold any other savings account with SBI if you open a BSBDA."
SBI,Accounts,What are the limitations of a BSBDA Small Account?,"A Small Account has a maximum balance limit of ₹50,000, and total credits in a year cannot exceed ₹1,00,000. It is valid for 12 months initially."
SBI,Accounts,How do I open an SBI Current Account?,"Current accounts are for businesses. You can apply online via the SBI Corporate website or visit a branch with business proof (GST, Incorporation Certificate) and KYC documents."
SBI,Accounts,What is the minimum balance for an SBI Current Account?,"The Monthly Average Balance (MAB) varies by variant: ₹5,000 for Regular Current Account, while premium variants like Power/Suraksha have higher MAB requirements."
SBI,Accounts,What is a Corporate Salary Package (CSP) account?,CSP accounts are zero-balance accounts offered to employees of corporates/institutions that have a salary tie-up with SBI. They offer additional benefits like free insurance and overdrafts.
SBI,Accounts,Can I convert my regular savings account to a Salary Account?,"Yes, if you join a company with an SBI tie-up, submit a request letter and proof of employment (ID card/Letter) to your branch to convert it to a CSP account."
SBI,Accounts,What happens to my Salary Account if credit stops?,"If salary is not credited for 3 consecutive months, the CSP account is automatically converted to a regular savings account, and standard charges/rules apply."
SBI,Accounts,How do I transfer my SBI account to another branch?,"Log in to Net Banking, go to 'e-Services' > 'Transfer of Savings Account'. Enter the new branch code and confirm with OTP. It takes about a week."
SBI,Accounts,Can I close my SBI savings account online?,"No, account closure requires a written request. You must visit your home branch, surrender unused cheque books/debit cards, and sign the closure form."
SBI,Accounts,What are the charges for closing an account within 14 days?,"If you close an account within 14 days of opening, there are no closure charges."
SBI,Accounts,What are the charges for closing an account after 1 year?,There are typically no account closure charges if the account is closed after 1 year from the date of opening.
SBI,Accounts,Is nomination mandatory for opening an account?,Nomination is not legally mandatory but is highly recommended to ensure smooth claim settlement in the event of the account holder's death.
SBI,Accounts,How many nominees can I add to a savings account?,You can add only one nominee per account in a standard savings account held in individual or joint capacity.
SBI,Accounts,What is the 'Savings Plus' Account?,This account is linked to a Multi Option Deposit (MOD). Surplus funds above a threshold are automatically swept into a term deposit to earn higher interest.
SBI,Accounts,What is the threshold limit for auto-sweep in Savings Plus?,"The standard threshold is ₹35,000. Funds above this are transferred to MOD in multiples of ₹1,000."
SBI,Accounts,How do I check my account balance without internet?,You can use SBI Quick (Missed Call Banking). Register your mobile number and give a missed call to 9223766666 to get the balance via SMS.
SBI,Accounts,What is a NRE Savings Account?,A Non-Resident External (NRE) account is for NRIs to park foreign earnings in India in INR. The interest earned is tax-free in India.
SBI,Accounts,What is a NRO Savings Account?,A Non-Resident Ordinary (NRO) account is for NRIs to manage income earned in India (like rent or dividends). Interest earned is taxable.
SBI,Accounts,Can I open an NRI account online?,"You can fill the application online on the SBI NRI website, but you must print, sign, and mail the forms along with attested documents to the designated branch in India."
SBI,Accounts,What is the 'Motor Accidents Claim Annuity Deposit' (MACAD) account?,This is a specialized account used to credit compensation awarded by courts to accident victims in the form of an annuity.
SBI,Accounts,Can I have two savings accounts in SBI with the same customer ID?,"Yes, you can hold multiple savings accounts under the same CIF (Customer Information File), but you cannot hold a BSBDA and a Regular Savings Account simultaneously."
SBI,Accounts,How do I add a mode of operation like 'Either or Survivor'?,"Mode of operation is defined at the time of opening joint accounts. To change it later, all account holders must submit a written request to the branch."
