bank_name,category,question,answer
HDFC,Savings Accounts,How do I open an HDFC Savings Account online?,You can open an account via the HDFC Bank website or mobile app using Aadhaar-based Video KYC.
HDFC,Savings Accounts,What is the minimum balance for HDFC Regular Savings Account?,"The Average Monthly Balance (AMB) requirement is Rs. 10,000 for Metro/Urban branches, Rs. 5,000 for Semi-Urban, and Rs. 2,500 for Rural branches."
HDFC,Savings Accounts,What are the charges for non-maintenance of AMB?,Charges range from Rs. 150 to Rs. 600 plus taxes depending on the shortfall percentage.
HDFC,Savings Accounts,Can I open a joint account online?,"No, currently online account opening via Video KYC is valid for single holding only. For joint accounts, visit the branch."
HDFC,Savings Accounts,What documents are required for opening an account?,"You need PAN, Aadhaar (or other OVDs), and a passport-sized photograph. Proof of address is required if it differs from the ID proof."
HDFC,Savings Accounts,How do I activiate NetBanking for the first time?,"Use your Customer ID and the IPIN (Password) sent in the Welcome Kit. If you don't have IPIN, you can regenerate it online using a Debit Card."
HDFC,Savings Accounts,What is the HDFC Classic Banking programme?,"It is a premium segment for customers maintaining a high relationship value (TRV), offering designated Personal Bankers and preferred rates."
HDFC,Savings Accounts,How do I transfer my account to another branch?,You can submit a transfer request via NetBanking under the 'Accounts' tab or visit your nearest branch.
HDFC,Savings Accounts,Is there a penalty for closing the account within 14 days?,"No, there are no closure charges if the account is closed within 14 days of opening."
HDFC,Savings Accounts,What is the Max Savings Account?,It is a premium savings account that offers Platinum Debit Cards and higher transaction limits.
HDFC,Savings Accounts,How do I add a nominee?,Log in to NetBanking > Request > View/Update Nomination Details. You can also do it via the MobileBanking App.
HDFC,Savings Accounts,What is the limit for cash deposit at Home Branch?,"You can deposit cash freely. However, for amounts above Rs. 2 lakhs, PAN is mandatory."
HDFC,Savings Accounts,Can I upgrade my account variant?,"Yes, you can request an upgrade (e.g., Regular to Classic/Preferred) if you meet the eligibility criteria of that programme."
HDFC,Savings Accounts,What is the 'DigiSave' Youth Account?,It is a digital-first savings account designed for millennials (18-25 years) offering distinct deals on online spends.
HDFC,Savings Accounts,How do I download my account statement?,"Log in to NetBanking > Enquire > Download Historical Statement. You can choose PDF, Excel, or Text format."
HDFC,Savings Accounts,What is the interest rate on Savings Account?,"Interest is calculated daily. Typically, it is around 3.00% to 3.50% p.a. depending on the balance."
HDFC,Savings Accounts,How do I update my email ID?,Log in to NetBanking > Profile > Contact Details > Update Email ID. It requires OTP authentication.
HDFC,Savings Accounts,Can I change my mobile number online?,"No, for security reasons, you must visit an HDFC ATM or Branch to update your registered mobile number."
HDFC,Savings Accounts,What is the Senior Citizen Savings Account?,"It offers special benefits like higher FD rates, free rewards, and preferential service for customers aged 60+."
HDFC,Savings Accounts,How do I check my account balance via SMS?,Send 'BAL' to 5676712 from your registered mobile number.
HDFC,Savings Accounts,What is InstaAlert?,InstaAlert sends real-time SMS/Email notifications for transactions. You can customize the threshold limits in NetBanking.
HDFC,Savings Accounts,How do I enable international usage on my Debit Card?,Log in to NetBanking > Cards > Debit Cards > Request > International Enable/Disable.
HDFC,Savings Accounts,What happens if my account is dormant?,"If there are no customer-induced transactions for 2 years, the account becomes dormant. You must visit the branch with KYC to reactivate it."
HDFC,Savings Accounts,Can I convert my account to NRO?,"Yes, if your residential status changes to NRI, you must inform the bank and convert your resident account to an NRO account."
HDFC,Savings Accounts,What is the Family Banking Group?,It allows family members to group their accounts to meet the relationship value criteria (TRV) collectively.
HDFC,Current Accounts,What is the minimum balance for a Current Account?,"It varies by variant. E.g., Ascent Current Account requires Rs. 10,000 Quarterly Average Balance (QAB)."
HDFC,Current Accounts,Can I open a Current Account online?,Sole proprietorships can apply online. Partnerships and Companies usually need to visit the branch with constitutive documents.
HDFC,Current Accounts,What are the cash deposit limits for Current Accounts?,"Free deposit limits depend on the variant (e.g., Rs. 2 Lakhs/month for Ascent). Beyond that, charges apply."
HDFC,Current Accounts,Do Current Accounts earn interest?,"No, generally Current Accounts do not earn any interest."
HDFC,Current Accounts,What is the 'SmartUp' solution?,"SmartUp is a banking suite tailored for Startups, offering banking, payment, and advisory solutions."
HDFC,Current Accounts,How do I get a Point of Sale (POS) machine?,You can apply for Merchant Services (POS) via NetBanking or by contacting your Relationship Manager.
HDFC,Current Accounts,What docs are needed for a Proprietorship Current Account?,"KYC of the proprietor (PAN/Aadhaar) and two proofs of business entity (e.g., GST Registration, Shop Act License)."
HDFC,Current Accounts,Can I operate my Current Account via MobileBanking?,"Yes, HDFC offers the 'Corporate Mobile App' for business entities to manage accounts on the go."
HDFC,Current Accounts,What is the 'E-Monies' facility?,It allows bulk payments and collections electronically for businesses managed via ENet.
HDFC,Current Accounts,How do I issue a bulk demand draft?,You can upload a bulk file on ENet or Corporate NetBanking to issue multiple DDs.
HDFC,Credit Cards,How do I apply for an HDFC Credit Card?,"You can apply online via the HDFC website, through NetBanking (if you have an account), or by visiting a branch."
HDFC,Credit Cards,What is the annual fee for HDFC Regalia Gold?,"The annual fee is Rs. 2,500 + taxes. It may be waived on spending Rs. 4 Lakhs in a year."
HDFC,Credit Cards,How do I check my credit card limit?,Log in to NetBanking or the Mobile App and go to the 'Cards' section to view available and total limits.
HDFC,Credit Cards,What is the foreign currency markup fee?,"It is typically 3.5% + GST. Premium cards like Infinia have a lower markup (e.g., 2%)."
HDFC,Credit Cards,How do I redeem Reward Points?,Login toNetBanking > Cards > Enquire > Redeem Reward Points. You will be redirected to the SmartBuy rewards portal.
HDFC,Credit Cards,What is the value of 1 Reward Point?,"It varies. For Statement Credit (CashBack), 1 RP = Rs. 0.20 to Rs. 0.50. For Airmiles/Vouchers on Infinia, 1 RP = Rs. 1."
HDFC,Credit Cards,How do I pin-set my new Credit Card?,"You can set the PIN via NetBanking, Mobile App, or by calling the IVR (1860 267 6161)."
HDFC,Credit Cards,What is 'Smart EMI'?,Smart EMI allows you to convert large purchases (processed transactions) into monthly installments at a special interest rate.
HDFC,Credit Cards,How do I block a lost Credit Card?,Immediately log in to NetBanking/App > Cards > Request > Block Credit Card. This is instant.
HDFC,Credit Cards,What is the Millennia Credit Card?,"It is a cashback-focused card offering 5% CashBack on Amazon, Flipkart, Myntra, etc., and 1% on other spends."
HDFC,Credit Cards,How do I pay my credit card bill?,"You can pay via NetBanking, Mobile App, UPI, BillDesk, or Auto-Pay from your HDFC Savings Account."
HDFC,Credit Cards,What is the minimum amount due?,It is approx 5% of the total outstanding. Paying only this amount attracts interest on the remaining balance.
HDFC,Credit Cards,Can I withdraw cash with my credit card?,"Yes, but it attracts a Cash Advance Fee (2.5% or min Rs. 500) and interest from day one. Avoid unless urgent."
HDFC,Credit Cards,What is features of Infinia Metal Card?,"It is a super-premium card with unlimited lounge access, dedicated concierge, and 3.3% reward rate."
HDFC,Credit Cards,How do I increase my credit limit?,"Check for 'Limit Enhancement' offers in NetBanking. If eligible, you can increase it instantly. Or, email income docs to Chennai office."
HDFC,Credit Cards,What is the Fuel Surcharge Waiver?,"Most HDFC cards offer a 1% waiver on fuel transactions between Rs. 400 and Rs. 5,000."
HDFC,Credit Cards,How do I correct a billing dispute?,Fill the Dispute Form available online and email it to the disputes team within 30 days of the statement date.
HDFC,Credit Cards,What is add-on card?,It is a supplementary card for family members. It shares the primary card's limit but usually has no annual fee.
HDFC,Credit Cards,Is there a charge for card replacement?,"Yes, a replacement fee of Rs. 100 + taxes applies unless the card was defective."
HDFC,Credit Cards,How do I enable contactless payments?,Go to 'Manage Card Limits' in NetBanking/App and toggle 'Contactless Usage' to ON.
HDFC,Credit Cards,What is EasyEMI?,It is an option to convert purchases into EMI at the merchant POS itself during checkout.
HDFC,Credit Cards,Can I transfer balance from other bank cards?,"Yes, HDFC offers 'Balance Transfer on EMI' to transfer other card dues at a lower interest rate."
HDFC,Credit Cards,What are the late payment charges?,Charges range from Rs. 100 to Rs. 1300 depending on the outstanding amount.
HDFC,Credit Cards,How do I check my CIBIL score?,You can check your CIBIL score for free via the HDFC NetBanking dashboard under 'General Services'.
HDFC,Credit Cards,What is the Tata Neu Infinity HDFC Card?,It is a co-branded card offering up to 10% NeuCoins on Tata Neu app purchases.
HDFC,Loans,What is the current Home Loan interest rate?,HDFC Home Loan rates are linked to the repo rate. They currently start from ~8.70% p.a. for high CIBIL scores.
HDFC,Loans,How can I apply for a Personal Loan?,Existing customers can apply via NetBanking for pre-approved offers (10-second loan). Others can apply on the website.
HDFC,Loans,What is the processing fee for Personal Loans?,"It is up to 2.50% of the loan amount, subject to a minimum and maximum cap."
HDFC,Loans,Can I prepay my Personal Loan?,"Yes, but lock-in period applies (usually 1 year). Prepayment charges are 2-4% of principal outstanding."
HDFC,Loans,What documents are needed for a Home Loan?,"KYC, Income Proof (Salary Slips/ITR), Bank Statements, and Property Documents (Agreement to Sell, Chain deeds)."
HDFC,Loans,How do I check my loan status?,Visit the HDFC Bank website > Loans > Track Application and enter your App Reference Number.
HDFC,Loans,What is the 'Reach' Home Loan?,It is a specialized product for micro-markets and self-employed individuals with informal income documents.
HDFC,Loans,How can I get a loan against my car?,HDFC offers 'Loan Against Car' where you avail funds up to 150% of the car's original value.
HDFC,Loans,What is a Top-Up Loan?,It is an additional loan on your existing Home Loan for personal or business needs.
