Bank,Product,Type,Annual_Charges,Benefits,Rate,Requirements,Rewards_Type,Cashback_Percent,Lounge_Access,Joining_Bonus,Fuel_Surcharge,International_Acceptance,Customer_Rating,Launch_Year
Axis,Axis Magnus,Credit Card,Rs. 10000 + GST,Unlimited lounge access | Complimentary Club Vistara membership | Accelerated rewards on travel and dining,N/A,Minimum income Rs 15 Lakh per annum | Age 21-65 years,Edge Rewards,5% on travel bookings,Yes - Unlimited domestic and international,25000 Edge Miles,Waived on transactions above Rs 400,Yes - Visa Signature,4.5/5,2022
Axis,Axis Ace,Credit Card,Rs. 499 (Waived on spending Rs 10000 in first year),5% cashback on Google Pay | 4% cashback on Swiggy Zomato and Ola | 2% on other online payments,N/A,Minimum income Rs 3 Lakh per annum,Cashback,5% on select platforms,No,None,Yes - 1% waived,No - Domestic only,4.2/5,2020
Axis,Axis Vistara Infinite,Credit Card,Rs. 10000 + GST,10 CV Points per Rs 200 on Vistara | Complimentary Club Vistara Silver membership | Milestone benefits up to 50000 CV Points,N/A,Minimum income Rs 18 Lakh per annum,Club Vistara Points,N/A,Yes - 8 per quarter,50000 CV Points,Waived,Yes - Visa Infinite,4.6/5,2021
Axis,Axis Atlas,Credit Card,Rs. 5000 + GST,10 Edge Miles per Rs 200 | Joining bonus 10000 Miles | Milestone benefits,N/A,Minimum income Rs 10 Lakh per annum,Edge Miles,N/A,Yes - 4 per quarter domestic,10000 Edge Miles,Waived on transactions above Rs 400,Yes - Visa Signature,4.4/5,2023
Axis,Axis My Zone,Credit Card,Rs. 500 (Reversed on annual spend of Rs 2 Lakhs),Choice of benefits zone | Movie tickets | Dining discounts,N/A,Minimum income Rs 3 Lakh per annum,Zone Rewards,N/A,No,2 movie tickets,Yes,No - Domestic only,4.0/5,2019
Axis,Axis Platinum Debit,Debit Card,Rs. 0 (Issued with Privilege account),Accidental insurance up to Rs 2 Lakhs | Lost card liability cover,N/A,Axis Privilege Account holder,N/A,N/A,No,None,No,Yes - Visa Platinum,4.1/5,2018
Axis,Axis Burgundy Debit,Debit Card,Rs. 0 (Issued with Burgundy account),Complimentary lounge access | Personal accident insurance Rs 10 Lakhs | Travel insurance,N/A,Axis Burgundy Account holder | Minimum quarterly balance Rs 10 Lakhs,N/A,N/A,Yes - 2 per quarter,None,No,Yes - World Elite,4.7/5,2017
Axis,Axis Home Loan,Loan,Processing fee 0.50% of loan amount,Flexible repayment options | Balance transfer facility | Part prepayment allowed,8.75% - 9.65% per annum,Salaried or Self-employed | Age 21-65 years | Minimum income Rs 25000 per month,N/A,N/A,N/A,N/A,N/A,N/A,4.3/5,2015
Axis,Axis Shubh Aarambh Home Loan,Loan,Processing fee 0.25% for first time home buyers,Special scheme for first time buyers | Lower processing fees | Flexible tenure,8.50% - 9.40% per annum,First time home buyer | Age 21-60 years | Minimum income Rs 20000 per month,N/A,N/A,N/A,N/A,N/A,N/A,4.5/5,2020
Axis,Axis Personal Loan,Loan,Processing fee up to 2% of loan amount,Quick disbursal | Minimal documentation | No collateral required,10.99% - 22% per annum,Salaried or Self-employed | Age 21-60 years | Minimum income Rs 15000 per month,N/A,N/A,N/A,N/A,N/A,N/A,4.0/5,2016
Axis,Axis Car Loan,Loan,Processing fee 3.50% of loan amount,Up to 100% on-road price funding | Flexible tenure up to 7 years,8.75% - 13.50% per annum,Age 21-65 years | Minimum income Rs 25000 per month,N/A,N/A,N/A,N/A,N/A,N/A,4.2/5,2017
Axis,Axis Two Wheeler Loan,Loan,Processing fee Rs 999,Quick approval | Minimal documentation | Up to 95% funding,11% - 18% per annum,Age 21-65 years | Minimum income Rs 12000 per month,N/A,N/A,N/A,N/A,N/A,N/A,4.1/5,2018
